Date,Closing_price,EMA,SMA
5/1/08,22.81,22.81,
5/2/08,23.09,22.87,
5/5/08,22.91,22.87,
5/6/08,23.23,22.95,
5/7/08,22.83,22.92,
5/8/08,23.05,22.95,
5/9/08,23.02,22.96,
5/12/08,23.29,23.03,
5/13/08,23.41,23.1,23.07
5/14/08,23.49,23.18,23.15
5/15/08,24.6,23.47,23.31
5/16/08,24.63,23.7,23.51
5/19/08,24.51,23.86,23.65
5/20/08,23.73,23.83,23.75
5/21/08,23.31,23.73,23.78
5/22/08,23.53,23.69,23.83
5/23/08,23.06,23.56,23.81
5/27/08,23.25,23.5,23.79
5/28/08,23.12,23.42,23.75
5/29/08,22.8,23.3,23.55
5/30/08,22.84,23.21,23.35
