id,category,currency,deadline_date,goal_amount,launch_time,amount_pledged,end_state,num_backers,country_location,usd_pledged_real,usd_goal_real,gender,age,backers_24hours
1000002330,Publishing,GBP,10/9/15,1000,8/11/15 12:12,0,failed,0,GB,0,1533.95,0,37,0
1000003930,Film & Video,USD,11/1/17,30000,9/2/17 4:43,2421,failed,15,US,2421,30000,0,63,4
1000004038,Film & Video,USD,2/26/13,45000,1/12/13 0:20,220,failed,3,US,220,45000,1,42,1
1000007540,Music,USD,4/16/12,5000,3/17/12 3:24,1,failed,1,US,1,5000,0,28,0
1000011046,Film & Video,USD,8/29/15,19500,7/4/15 8:35,1283,canceled,14,US,1283,19500,1,23,4
1000014025,Food,USD,4/1/16,50000,2/26/16 13:38,52375,successful,224,US,52375,50000,0,39,82
1000023410,Food,USD,12/21/14,1000,12/1/14 18:30,1205,successful,16,US,1205,1000,0,18,8
1000030581,Food,USD,3/17/16,25000,2/1/16 20:05,453,failed,40,US,453,25000,0,40,3
1000034518,Design,USD,5/29/14,125000,4/24/14 18:14,8233,canceled,58,US,8233,125000,1,61,6
100004195,Film & Video,USD,8/10/14,65000,7/11/14 21:55,6240.5698,canceled,43,US,6240.5698,65000,0,27,4
100004721,Publishing,CAD,10/9/13,2500,9/9/13 18:19,0,failed,0,CA,0,2406.3899,1,52,0
100005484,Music,USD,4/8/13,12500,3/9/13 6:42,12700,successful,100,US,12700,12500,1,48,13
1000055792,Crafts,USD,10/2/14,5000,9/2/14 17:11,0,failed,0,US,0,5000,0,54,0
1000056157,Games,USD,3/25/16,200000,2/9/16 23:01,0,failed,0,US,0,200000,1,20,0
1000057089,Games,GBP,5/3/17,5000,4/5/17 19:44,94175,successful,761,GB,121857.33,6469.73,0,31,191
1000064368,Design,USD,2/28/15,2500,1/29/15 2:10,664,failed,11,US,664,2500,1,47,0
1000064918,Comics,USD,11/8/14,1500,10/9/14 22:27,395,failed,16,US,395,1500,1,46,2
1000068480,Publishing,USD,5/10/15,3000,4/10/15 21:20,789,failed,20,US,789,3000,0,48,5
1000070642,Music,USD,8/17/12,250,8/2/12 14:11,250,successful,7,US,250,250,0,24,2
1000071625,Food,USD,6/2/12,5000,5/3/12 17:24,1781,failed,40,US,1781,5000,1,18,12
1000072011,Fashion,USD,12/30/13,20000,11/25/13 7:06,34268,successful,624,US,34268,20000,1,41,243
1000081649,Fashion,AUD,9/7/17,2500,8/8/17 1:20,1,failed,1,AU,0.81,2026.1,1,23,0
1000082254,Theater,USD,6/15/14,3500,5/16/14 10:10,650,failed,12,US,650,3500,0,18,5
1000087442,Food,NOK,2/25/15,500,1/26/15 19:17,48,failed,3,NO,6.29,65.550003,1,62,1
1000091520,Comics,USD,11/12/14,175,10/23/14 17:15,701.65997,successful,66,US,701.65997,175,1,56,3
1000102741,Music,USD,1/6/11,10000,12/7/10 23:16,15827,successful,147,US,15827,10000,1,57,29
1000103948,Crafts,GBP,1/5/16,12000,12/6/15 20:09,0,failed,0,GB,0,17489.65,0,30,0
1000104688,Film & Video,CAD,12/14/14,17757,11/14/14 18:02,48905,successful,571,CA,42174.031,15313.04,0,32,275
1000104953,Comics,GBP,1/28/16,100,12/29/15 16:59,112.38,successful,27,GB,160.60001,142.91,1,62,4
100011318,Film & Video,USD,5/3/17,50000,4/3/17 17:11,57577.309,successful,840,US,57577.309,50000,0,32,74
1000115172,Food,GBP,3/31/15,3500,3/1/15 18:06,21,failed,1,GB,31.09,5181.1201,0,41,0
1000117861,Design,USD,10/8/16,1000,9/7/16 13:14,47266,successful,549,US,47266,1000,1,53,235
1000120151,Design,AUD,8/22/15,2000,7/23/15 3:09,2000,successful,18,AU,1427.35,1427.35,1,28,6
1000120287,Art,USD,3/24/13,25000,2/12/13 1:07,1395,failed,30,US,1395,25000,1,63,9
100012079,Music,USD,8/13/14,12000,7/14/14 22:35,13260,successful,92,US,13260,12000,1,44,43
1000129669,Film & Video,USD,8/23/13,10000,7/24/13 21:40,1373.37,failed,54,US,1373.37,10000,0,42,26
1000131947,Music,USD,5/19/12,4000,4/19/12 1:04,8641.3398,successful,157,US,8641.3398,4000,1,32,3
1000132945,Film & Video,USD,10/21/13,10000,9/21/13 23:00,15663,successful,213,US,15663,10000,0,39,42
1000134913,Art,USD,1/27/16,3000,12/23/15 21:47,17,failed,2,US,17,3000,1,37,1
1000146991,Music,USD,9/2/12,15000,8/3/12 18:43,17499.99,successful,277,US,17499.99,15000,1,31,45
1000149007,Publishing,CAD,1/19/18,3000,11/20/17 18:15,592,live,24,CA,472.88,2396.3601,0,32,3
1000153208,Music,USD,12/20/16,2100,12/9/16 20:27,2100,successful,34,US,2100,2100,1,48,7
1000160286,Photography,USD,12/13/13,15000,11/13/13 0:34,23907,successful,232,US,23907,15000,0,41,26
1000170964,Games,USD,3/27/17,1500,3/2/17 4:01,856,failed,25,US,856,1500,1,43,8
1000171141,Music,USD,9/1/12,10000,7/15/12 3:27,12656,successful,181,US,12656,10000,1,57,10
1000182258,Film & Video,USD,10/1/13,2500,8/27/13 20:17,0,failed,0,US,0,2500,1,51,0
1000183112,Food,USD,10/16/14,40000,9/16/14 2:31,63401,successful,855,US,63401,40000,1,54,52
1000184224,Film & Video,USD,2/23/13,8000,1/24/13 6:04,9401,successful,154,US,9401,8000,0,59,46
1000190427,Games,USD,7/19/13,3000,6/19/13 3:16,8105,successful,218,US,8105,3000,0,43,58
1000197321,Art,USD,1/2/16,1200,11/22/15 22:47,90,failed,4,US,90,1200,1,45,1
1000201265,Film & Video,USD,2/5/14,60000,1/11/14 0:57,61365.16,successful,632,US,61365.16,60000,1,44,30
