Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,30,48
2004-02,76,26,48
2004-03,70,25,45
2004-04,70,23,48
2004-05,73,23,43
2004-06,65,23,44
2004-07,62,24,46
2004-08,58,27,45
2004-09,56,26,45
2004-10,52,23,44
2004-11,50,24,43
2004-12,43,24,40
2005-01,64,33,45
2005-02,55,29,47
2005-03,57,27,46
2005-04,56,25,45
2005-05,59,25,44
2005-06,53,25,45
2005-07,53,24,43
2005-08,51,27,44
2005-09,47,27,45
2005-10,46,26,44
2005-11,43,26,43
2005-12,39,25,39
2006-01,64,34,45
2006-02,52,29,45
2006-03,52,28,48
2006-04,51,26,47
2006-05,50,26,46
2006-06,53,26,45
2006-07,52,28,44
2006-08,50,30,45
2006-09,46,30,46
2006-10,43,27,46
2006-11,43,27,45
2006-12,37,27,40
2007-01,59,36,48
2007-02,50,32,49
2007-03,52,32,48
2007-04,53,31,48
2007-05,48,32,47
2007-06,49,30,47
2007-07,49,31,50
2007-08,44,32,53
2007-09,45,32,50
2007-10,42,28,52
2007-11,39,27,51
2007-12,35,27,43
2008-01,53,36,53
2008-02,46,30,51
2008-03,45,28,51
2008-04,47,28,51
2008-05,44,27,49
2008-06,43,27,50
2008-07,44,28,52
2008-08,44,31,48
2008-09,42,33,63
2008-10,42,28,73
2008-11,41,29,58
2008-12,38,27,53
2009-01,53,36,56
2009-02,47,30,58
2009-03,48,29,60
2009-04,51,29,59
2009-05,47,28,53
2009-06,48,28,55
2009-07,47,29,57
2009-08,48,30,57
2009-09,45,31,58
2009-10,45,28,55
2009-11,42,28,52
2009-12,39,27,47
2010-01,58,36,51
2010-02,51,32,53
2010-03,52,30,54
2010-04,52,29,56
2010-05,51,29,54
2010-06,49,29,53
2010-07,49,29,51
2010-08,49,32,51
2010-09,47,32,53
2010-10,46,29,50
2010-11,43,29,49
2010-12,40,28,46
2011-01,60,39,50
2011-02,52,34,51
2011-03,54,33,52
2011-04,59,31,50
2011-05,57,32,49
2011-06,54,32,48
2011-07,54,31,49
2011-08,51,34,58
2011-09,50,36,52
2011-10,49,33,49
2011-11,49,34,48
2011-12,45,32,41
2012-01,64,43,45
2012-02,57,38,48
2012-03,56,35,48
2012-04,56,35,45
2012-05,55,34,48
2012-06,54,35,44
2012-07,55,36,44
2012-08,54,38,45
2012-09,52,38,48
2012-10,47,34,46
2012-11,45,33,43
2012-12,42,33,39
2013-01,65,43,47
2013-02,58,39,47
2013-03,58,38,46
2013-04,59,38,47
2013-05,56,37,47
2013-06,55,38,44
2013-07,55,38,46
2013-08,53,40,46
2013-09,52,40,47
2013-10,48,38,48
2013-11,45,37,44
2013-12,42,37,40
2014-01,62,48,47
2014-02,53,44,47
2014-03,54,42,47
2014-04,54,42,47
2014-05,50,39,43
2014-06,50,39,44
2014-07,48,40,46
2014-08,46,41,45
2014-09,46,42,48
2014-10,43,39,48
2014-11,42,38,43
2014-12,39,38,43
2015-01,56,49,46
2015-02,48,44,47
2015-03,51,45,47
2015-04,51,42,47
2015-05,49,42,44
2015-06,47,42,45
2015-07,47,42,48
2015-08,46,44,48
2015-09,44,45,50
2015-10,42,41,46
2015-11,39,42,42
2015-12,37,42,41
2016-01,52,52,44
2016-02,48,46,46
2016-03,48,47,43
2016-04,48,46,43
2016-05,47,46,42
2016-06,44,47,45
2016-07,44,57,42
2016-08,45,54,42
2016-09,43,51,44
2016-10,41,45,42
2016-11,38,45,44
2016-12,36,44,39
2017-01,55,58,43
2017-02,56,51,43
2017-03,51,50,45
2017-04,49,48,41
2017-05,48,48,44
2017-06,48,50,42
2017-07,50,53,43
2017-08,47,51,44
2017-09,44,51,48
2017-10,44,46,46
2017-11,42,48,48
2017-12,40,46,52
2018-01,58,60,54
2018-02,53,52,50
2018-03,54,50,50
2018-04,57,50,47
2018-05,55,49,46
2018-06,52,50,45
2018-07,54,51,45
2018-08,51,51,47
2018-09,47,51,46
2018-10,45,46,48
2018-11,43,48,43
2018-12,43,47,41
2019-01,62,59,45
2019-02,54,54,46
