Date,stock,pop
2016-01-04,  325.316,   82
2016-01-11,  320.036,   83
2016-01-18,  299.169,   79
2016-01-25,  296.579,   84
2016-02-01,  295.334,   82
2016-02-08,  309.777,   81
2016-02-15,  317.397,   75
2016-02-22,  328.005,   80
2016-02-29,  315.504,   81
2016-03-07,  328.802,   81
2016-03-14,  339.559,   86
2016-03-21,  352.160,   82
2016-03-28,  348.773,   84
2016-04-04,  346.482,   83
2016-04-11,  346.980,   80
2016-04-18,  357.140,   75
2016-04-25,  357.439,   77
2016-05-02,  356.443,   78
2016-05-09,  365.158,   78
2016-05-16,  352.160,   72
2016-05-23,  344.540,   74
2016-05-30,  354.998,   81
2016-06-06,  347.428,   77
2016-06-13,  341.053,   78
2016-06-20,  363.515,   80
2016-06-27,  349.669,   80
2016-07-04,  371.583,   82
2016-07-11,  358.335,   81
2016-07-18,  362.021,   79
2016-07-25,  368.844,   77
