,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Output-1,Output-2
0,15.98425197,0.251968504,63.4375,0.21,0.028,0.073,0.43,0.005,0.024,0.009,0.016,0.005,8.938461538,8.95,0.065833333,155.6,57,20
1,30,0.405511811,73.98058252,0.25,0.008,0.13,1.08,0.005,0.03,0.015,0.03,0.046,10.05714286,27.63083333,0.181272727,184.6,48,10
2,30,0.437007874,68.64864865,0.27,0.011,0.079,0.98,0.005,0.072,0.018,0.042,0.059,9.905,29.91157895,0.271428571,180.4,33,13
3,30,0.437007874,68.64864865,0.26,0.018,0.16,1.15,0.008,0.042,0.014,0.035,0.067,10.28461538,32.81846154,0.229583333,178.8,52,23
7,12.75590551,0.251968504,50.625,0.18,0.006,0.059,1.14,0.005,0.008,0.015,0.007,0.16,11.05,42.27785714,0.023888889,162.2,48,22
8,15.98425197,0.374015748,42.73684211,0.2,0.016,0.017,0.49,0.005,0.009,0.012,0.034,0.034,12.42857143,19.68538462,0.0672,145.6,46,7
9,24.01574803,0.374015748,64.21052632,0.25,0.013,0.16,1.19,0.005,0.029,0.014,0.029,0.063,10.83076923,29.48384615,0.145428571,186.6,56,15
11,25.98425197,0.311023622,83.5443038,0.27,0.007,0.057,1.04,0.006,0.015,0.01,0.028,0.035,19.22,33.59266667,0.1373125,167.6,47,10
12,25.98425197,0.311023622,83.5443038,0.27,0.008,0.058,1.06,0.006,0.016,0.011,0.03,0.033,44.66666667,36.93828571,0.307740741,171.6,53,11
13,34.01574803,0.405511811,83.88349515,0.25,0.039,0.02,1.09,0.01,0.032,0.014,0.03,0.044,10.68666667,31.13857143,0.182677419,177.4,61,16
14,34.01574803,0.5,68.03149606,0.26,0.006,0.011,1.11,0.005,0.018,0.013,0.019,0.032,10.2,52.67142857,0.141909091,186.2,50,23
15,24.01574803,0.279527559,85.91549296,0.26,0.02,0.14,0.97,0.006,0.029,0.013,0.032,0.045,5.4,60.783,0.25,179.8,43,21
